,time,position_x,position_y,Goal_x,Goal_y,distance,azimuth,direction
0,2020/02/05 15:15:40,35.660533,139.794851,35.658581,139.745433,0,0,
1,2020/02/05 15:15:45,35.660625,139.7955,35.658581,139.745433,4539.213960197749,267.1508010928278,72.84757825978816
2,2020/02/05 15:15:51,35.660626666666666,139.79550666666665,35.658581,139.745433,4539.826064629295,267.1488527285534,71.56505117707799
3,2020/02/05 15:15:56,35.66063166666667,139.7955,35.658581,139.745433,4539.250788131712,267.14147611326035,70.523424501068
4,2020/02/05 15:16:02,35.66063333333334,139.795505,35.658581,139.745433,4539.7121917149425,267.1394329990964,70.93080646265187
5,2020/02/05 15:16:07,35.660615,139.79545833333333,35.658581,139.745433,4535.390714885042,267.16240698270576,71.56505117707799
6,2020/02/05 15:16:13,35.660556666666665,139.79528333333334,35.658581,139.745433,4519.247319437906,267.2343148748647,71.77492488864554
7,2020/02/05 15:16:18,35.66052166666667,139.79511833333333,35.658581,139.745433,4504.137944793131,267.2743894551918,69.90476880809518
8,2020/02/05 15:16:24,35.66031,139.79464333333334,35.658581,139.745433,4460.110564197751,267.5491911763093,73.30075576600638
9,2020/02/05 15:16:29,35.66024,139.79448833333333,35.658581,139.745433,4445.761979573076,267.6413694099554,71.13100054493859
