,time,position_x,position_y,Goal_x,Goal_y,distance,azimuth,direction
0,2020/01/19 17:43:57,35.660533,139.794851,35.658581,139.745433,0,0,
1,2020/01/19 17:43:57,35.66040097865262,139.7899996645071,35.658581,139.745433,4040.546776574144,267.14836667461725,
2,2020/01/19 17:43:57,35.660268527224126,139.78557711127723,35.658581,139.745433,3639.8588303332867,267.0630837360806,
3,2020/01/19 17:43:57,35.660175947676095,139.78163143751237,35.658581,139.745433,3282.535550514676,266.9201982706619,
4,2020/01/19 17:43:57,35.66010569525954,139.7781048864816,35.658581,139.745433,2963.267462915044,266.73680313222707,
5,2020/01/19 17:43:57,35.65996468019659,139.77486296477525,35.658581,139.745433,2669.300041065313,266.7114295444738,
6,2020/01/19 17:43:57,35.65990393050027,139.7720121694511,35.658581,139.745433,2411.2149126605964,266.5177090616039,
7,2020/01/19 17:43:57,35.65986380501053,139.76942710142274,35.658581,139.745433,2177.3228012288296,266.2589203202056,
8,2020/01/19 17:43:57,35.659834934815784,139.76709094778553,35.658581,139.745433,1966.0562621481997,265.94840077190264,
9,2020/01/19 17:43:57,35.659785171918585,139.76496240942723,35.658581,139.745433,1773.4287548465213,265.6850640386765,
10,2020/01/19 17:43:57,35.6596817083803,139.76302095515967,35.658581,139.745433,1597.2667924475877,265.62002802345427,
11,2020/01/19 17:43:57,35.65959411690241,139.76133348700833,35.658581,139.745433,1444.1727672618072,265.540468157011,
12,2020/01/19 17:43:57,35.65949830991211,139.75979030054162,35.658581,139.745433,1304.0343422074254,265.527779115894,
13,2020/01/19 17:43:57,35.65949655993923,139.75839095157846,35.658581,139.745433,1177.7343090166812,265.0556605671709,
14,2020/01/19 17:43:57,35.65943238554345,139.75710116682842,35.658581,139.745433,1060.769743662678,264.8943374423164,
15,2020/01/19 17:43:57,35.65939733943531,139.7560214655673,35.658581,139.745433,963.0570291198951,264.606469572656,
16,2020/01/19 17:43:57,35.65938070700766,139.7550408967104,35.658581,139.745433,874.5106153497393,264.17943214350134,
17,2020/01/19 17:43:57,35.659374824672106,139.7541634066541,35.658581,139.745433,795.4320480880144,263.6452336361994,
18,2020/01/19 17:43:57,35.65938090687019,139.75337740653117,35.658581,139.745433,724.8223291351251,262.9690083904459,
19,2020/01/19 17:43:57,35.65932116657729,139.7526826216132,35.658581,139.745433,661.5723623231825,262.8713780848975,
20,2020/01/19 17:43:57,35.65928901997036,139.75196319956993,35.658581,139.745433,596.5070314983667,262.4343789741383,
21,2020/01/19 17:43:57,35.65926061175409,139.7513516084826,35.658581,139.745433,541.210653528831,261.99287453048345,
22,2020/01/19 17:43:57,35.659211154145645,139.7507907859362,35.658581,139.745433,490.1616401433226,261.80084535275,
23,2020/01/19 17:43:57,35.65917088116083,139.75034315379642,35.658581,139.745433,449.4076444687919,261.62745371538404,
24,2020/01/19 17:43:57,35.659164934655536,139.74987127187163,35.658581,139.745433,407.07614484773694,260.84331014965863,
25,2020/01/19 17:43:57,35.65915882108747,139.7494451156416,35.658581,139.745433,368.91205119692574,259.9933000835446,
26,2020/01/19 17:43:57,35.65914102372129,139.74912601806054,35.658581,139.745433,340.1280889010995,259.4749114950048,
27,2020/01/19 17:43:57,35.65916690576515,139.74885267694532,35.658581,139.745433,316.40329178873236,258.1446424100445,
28,2020/01/19 17:43:57,35.65918177099425,139.74851579997508,35.658581,139.745433,286.99682544779034,256.570883362849,
29,2020/01/19 17:43:57,35.659127702979774,139.74822927562934,35.658581,139.745433,260.36825956841875,256.5287846642404,
30,2020/01/19 17:43:57,35.659157692156064,139.74801206639287,35.658581,139.745433,242.14245512272214,254.67850600667248,
31,2020/01/19 17:43:57,35.659109547095966,139.74780649849134,35.658581,139.745433,222.77846687747606,254.73842081300955,
32,2020/01/19 17:43:57,35.65911975104222,139.74762232831432,35.658581,139.745433,207.06055046748412,253.22121890645835,
33,2020/01/19 17:43:57,35.659127839369106,139.74744025810907,35.658581,139.745433,191.61742096818128,251.54087674160354,
34,2020/01/19 17:43:57,35.65909282124526,139.74732043267895,35.658581,139.745433,180.0954202403656,251.62033150175387,
35,2020/01/19 17:43:57,35.65909587905537,139.74714107375902,35.658581,139.745433,164.8797771314248,249.72845324032448,
36,2020/01/19 17:43:57,35.65909811088226,139.74706386819057,35.658581,139.745433,158.42985095433312,248.76838633656928,
37,2020/01/19 17:43:57,35.65909395000442,139.74692201850007,35.658581,139.745433,146.3508801761915,247.11549924885213,
38,2020/01/19 17:43:57,35.65910514168692,139.74677975711182,35.658581,139.745433,135.1061002640872,244.50497151408297,
39,2020/01/19 17:43:57,35.65912676986237,139.74665712112,35.658581,139.745433,126.30678755043473,241.35250099435157,
40,2020/01/19 17:43:57,35.65913979656575,139.74660200493506,35.658581,139.745433,122.67452539505607,239.64228212390256,
41,2020/01/19 17:43:57,35.65915830171916,139.74651942949546,35.658581,139.745433,117.39151826847174,236.93209876943223,
42,2020/01/19 17:43:57,35.65916742347121,139.7464356103058,35.658581,139.745433,111.69477411081171,234.37179180601373,
43,2020/01/19 17:43:57,35.659171485249345,139.7464209699507,35.658581,139.745433,110.885607115841,233.78347230119732,
44,2020/01/19 17:43:57,35.65914127629284,139.74637485130626,35.658581,139.745433,105.5363289698708,233.9120046744191,
45,2020/01/19 17:43:57,35.65909469156711,139.7463733661144,35.658581,139.745433,102.46511371468856,236.20392977629217,
46,2020/01/19 17:43:57,35.659107150762736,139.7462997603135,35.658581,139.745433,97.81588837079427,233.35823247430383,
